Comment	Description	Designator	Footprint	LibRef	Quantity
"35221R0JT"	"RES SMD 1 OHM 5% 3W 2512"	"R96, R97, R98, R99, R101, R102, R103, R104, R106, R108"	"35221R0JT"	"35221R0JT"	"10"
"NCP21XM472J03RA"	"NTC THERMISTOR 4.7K OHM 5% 0805"	"TH1"	"SMD-0805-RES"	"NCP21XM472J03RA"	"1"
"TP"	"SMD TEST POINT"	"TP1, TP2, TP3, TP4"	"Test Point"	"TP"	"4"
"ADS1219IPWR"	"ADC, Delta-Sigma, 24-Bit, 1 Func, 4 Channel, Serial Access, PDSO16"	"U1"	"TSOP65P640X120-16N"	"ADS1219IPWR"	"1"
"MAX3232IDW"	"IC DRVR/RCVR MULTCH RS232 16SOIC"	"U2"	"SOP127P1060X175-16N"	"MAX3232IDW"	"1"
"TCA6416PWR"	"Parallel I/O Port, 16-Bit, 16 I/O, CMOS, PDSO24"	"U3"	"TSOP65P640X120-24N"	"TCA6416PWR"	"1"
"RASPBERRY PI 4 MODEL B"	"SINGLE BOARD COMPUTER"	"U4"	"Raspberry Pi Model 3B+"	"RASPBERRY PI 4 MODEL B"	"1"
"IS32LT3952-GRLA3-TR"	"LED Driver Buck 1-CH PWM 10.2V 1.5A 8-Pin SOP EP T/R"	"U5, U7, U8, U9, U10"	"IS32LT3952-GRLA3-TR"	"IS32LT3952-GRLA3-TR"	"7"
"TPS5450MDDAREP"	"Switching Regulator, Voltage-mode, 5A, 500kHz Switching Freq-Max, PDSO8"	"U6"	"TPS5450QDDARQ1"	"TPS5450MDDAREP"	"1"
"INA219AIDCNR"	"IC CURRENT MONITOR 1% SOT23-8"	"U11, U12, U13"	"FP-DCN0008A-IPC_B"	"CMP-0704-00041-3"	"3"
